AWS Account,Account Number,Name,Instance ID,AMI ID,Volumes,Private IP,Public IP,Private DNS,Region,Availability Zone,VPC ID,Type,Key Pair Name,State,Launch Date
jf-master-acct-pd,565241749827,web5,i-0fb3898ca6746139e,ami-0015b9ef68c77328d,vol-0394e2def06f1b7b6,172.31.91.185,,ip-172-31-91-185.ec2.internal,,us-east-1b,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web6,i-01f98a4c205a091b3,ami-0015b9ef68c77328d,vol-035c91b4b7e489137,172.31.93.199,,ip-172-31-93-199.ec2.internal,,us-east-1b,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web4,i-0271571d4e333e67c,ami-0015b9ef68c77328d,vol-04526bccc8e07ab8b,172.31.87.192,,ip-172-31-87-192.ec2.internal,,us-east-1b,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web9,i-05300327c2f28e888,ami-0015b9ef68c77328d,vol-05e482fddb0689473,172.31.80.255,,ip-172-31-80-255.ec2.internal,,us-east-1b,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web8,i-086dfa52e90ab76eb,ami-0015b9ef68c77328d,vol-09f194b54e0f013d4,172.31.89.219,,ip-172-31-89-219.ec2.internal,,us-east-1b,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web7,i-052f5d325e2ba3a9d,ami-0015b9ef68c77328d,vol-00abe9d930781ef39,172.31.80.241,,ip-172-31-80-241.ec2.internal,,us-east-1b,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web3,i-006137a980264ad4d,ami-0015b9ef68c77328d,vol-0d3248a1bfc2601e1,172.31.72.61,,ip-172-31-72-61.ec2.internal,,us-east-1f,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web2,i-0a068cf0392c655e7,ami-0015b9ef68c77328d,vol-09936ecf6f8e6d821,172.31.70.43,,ip-172-31-70-43.ec2.internal,,us-east-1f,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web1,i-071adda8e539ba7b1,ami-0015b9ef68c77328d,vol-0410589853dcd4261,172.31.67.16,,ip-172-31-67-16.ec2.internal,,us-east-1f,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web10,i-01950a4cb257fc9ab,ami-0015b9ef68c77328d,vol-004494adaf982a5ed,172.31.77.10,,ip-172-31-77-10.ec2.internal,,us-east-1f,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web12,i-0699a492abce7e7cc,ami-0015b9ef68c77328d,vol-0b87aeffd02b9fa07,172.31.78.180,,ip-172-31-78-180.ec2.internal,,us-east-1f,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
jf-master-acct-pd,565241749827,web11,i-014dfe32445d00ddc,ami-0015b9ef68c77328d,vol-01590800e95a1aff3,172.31.65.132,,ip-172-31-65-132.ec2.internal,,us-east-1f,vpc-68b1ff12,t2.micro,sncr-timd,running,March 02 2020
